Disease,Treatment,Tablet Name,Dosage,Time Taken,Effect Time Duration,Which Age,Company,Purity,Side Effects,Price
Vitamin D Deficiency,Supplementation,Cholecalciferol,650 mg,Before meals,8 hours,13-18,Greenfield Biotech,98.6%,"Insomnia, Loss of appetite, Drowsiness",₹505.19
Fever,Antipyretic Therapy,Paracetamol,25 mg,Thrice daily - After meals,2 hours,51-65,Nova Health,98.5%,"Loss of appetite, Stomach upset, Headache",₹386.23
Acidity / GERD,Antacid Therapy,Omeprazole,650 mg,As needed (SOS),12 hours,19-35,Greenfield Biotech,96.1%,"Drowsiness, None reported",₹327.90
Anxiety Disorder,Anxiolytic Therapy,Buspirone,50 mg,Once daily - Morning,24 hours,51-65,MedLife Labs,99.8%,"Drowsiness, Loss of appetite",₹254.86
Vitamin D Deficiency,Supplementation,Cholecalciferol,650 mg,Once daily - Night,2 hours,65+,Nova Health,98.8%,None reported,₹204.01
Migraine,Analgesic Therapy,Rizatriptan,200 mg,After meals,6 hours,19-35,TrueMed Industries,96.0%,"Insomnia, Diarrhea",₹553.65
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,650 mg,Thrice daily - After meals,6 hours,36-50,Wellspring Rx,96.3%,"Insomnia, Loss of appetite, Headache",₹584.45
Peptic Ulcer,Proton Pump Inhibitor,Omeprazole,1000 mg,Once daily - Morning,12 hours,36-50,Vitacore Pharmaceuticals,95.3%,"Insomnia, Mild rash, Headache",₹559.88
Depression,Antidepressant Therapy,Sertraline,50 mg,Twice daily - Morning & Night,8 hours,65+,Horizon Meds,97.6%,"Constipation, Stomach upset, None reported",₹344.30
Bacterial Infection,Antibiotic Therapy,Doxycycline,5 mg,Once daily - Morning,4 hours,13-18,Zenith Biocare,95.8%,"Stomach upset, Constipation, Drowsiness",₹331.97
Cough & Cold,Antitussive Therapy,Levocetirizine Combo,50 mg,Every 8 hours,2 hours,65+,Silver Cross Pharma,95.6%,"Blurred vision, Dizziness, Diarrhea",₹294.43
Allergy,Antihistamine Therapy,Cetrizine,200 mg,Once daily - Morning,10 hours,51-65,Greenfield Biotech,97.5%,None reported,₹534.50
Vitamin D Deficiency,Supplementation,Cholecalciferol,100 mg,Twice daily - Morning & Night,2 hours,51-65,TrueMed Industries,97.4%,Mild rash,₹747.88
Allergy,Antihistamine Therapy,Cetrizine,25 mg,Once weekly,4 hours,0-12,Silver Cross Pharma,97.4%,Blurred vision,₹456.54
Hypertension,ACE Inhibitor Therapy,Hydrochlorothiazide,250 mg,Twice daily - Morning & Night,10 hours,51-65,PurePath Pharma,97.1%,Loss of appetite,₹643.93
Osteoporosis,Bisphosphonate Therapy,Calcium + Vitamin D3,150 mg,After meals,24 hours,51-65,Cygnus Life Sciences,95.6%,Drowsiness,₹292.67
Diarrhea,Antimotility / Rehydration Therapy,Racecadotril,25 mg,Once daily - Morning,4 hours,65+,Zenith Biocare,95.3%,Nausea,₹731.81
Headache,Analgesic Therapy,Ibuprofen,500 mg,Every 6 hours,8 hours,51-65,Greenfield Biotech,98.5%,"Constipation, Fatigue, Headache",₹668.65
Insomnia,Sedative Therapy,Zolpidem,5 mg,As needed (SOS),12 hours,36-50,Wellspring Rx,97.3%,"Nausea, Diarrhea, Blurred vision",₹836.67
Migraine,Triptan Therapy,Rizatriptan,650 mg,After meals,4 hours,13-18,Nova Health,95.9%,"Dry mouth, Stomach upset",₹162.50
